Country,Year,Methane_Co2_Equivalent_in_Kt,MethaneDeviation,GDP,Country Code,IncomeGroup,Region,lat,lon,TotalEmissions,
Bolivia,1970,16508.6,0,3678,BOL,Lower middle income,Latin America & Caribbean,-16.4989,-68.13313,906897,0
Brazil,1970,207737,0,5930,BRA,Upper middle income,Latin America & Caribbean,-15.77843,-47.92866,14049996,0
Barbados,1970,100.037,0,9013,BRB,High income,Latin America & Caribbean,13.11202,-59.61269,4667,0
Brunei,1970,1614.81,0,74132,BRN,High income,East Asia & Pacific,4.8919,114.94044,163011,0
Bhutan,1970,698.411,0,1067,BTN,Lower middle income,South Asia,27.4682,89.66189,43578,0
Botswana,1970,5232.4,0,1567,BWA,Upper middle income,Sub-Saharan Africa,-24.65527,25.91907,198601,0
Central African Republic,1970,28889.6,0,1358,CAF,Low income,Sub-Saharan Africa,6.61404,20.65731,1720740,0
Canada,1970,67295.5,0,19842,CAN,High income,North America,45.42179,-75.69119,3779435,0
Switzerland,1970,4878.4,0,36582,CHE,High income,Europe & Central Asia,46.94843,7.44046,227834,0
Chile,1970,10912.9,0,7382,CHL,High income,Latin America & Caribbean,-33.43724,-70.65002,614035,0
China,1970,781088,0,848,CHN,Upper middle income,East Asia & Pacific,39.90469,116.40708,45917251,0
Cameroon,1970,8286.23,0,2169,CMR,Lower middle income,Sub-Saharan Africa,3.86796,11.51695,568560,0
Colombia,1970,36921,0,4325,COL,Upper middle income,Latin America & Caribbean,4.61495,-74.06938,2178243,0
Comoros,1970,142.057,0,1425,COM,Low income,Sub-Saharan Africa,-11.69219,43.25921,8571,0
Cabo Verde,1970,45.8144,0,942,CPV,Lower middle income,Sub-Saharan Africa,17.0545,-25.17401,3792,0
Costa Rica,1970,2598.51,0,5723,CRI,Upper middle income,Latin America & Caribbean,9.92976,-84.08569,134421,0
Cuba,1970,13600.2,0,8918,CUB,Upper middle income,Latin America & Caribbean,22.0677,-79.4995,474018,0
Cyprus,1970,340.552,0,8344,CYP,High income,Europe & Central Asia,34.8997,32.9066,19955,0
Czech Republic,1970,17963.3,0,15038,CZE,High income,Europe & Central Asia,50.07908,14.43323,682287,0
Germany,1970,126692,0,21218,DEU,High income,Europe & Central Asia,52.51607,13.37699,4257031,0
Djibouti,1970,148.642,0,4357,DJI,Lower middle income,Middle East & North Africa,11.58766,43.1448,17548,0
Dominica,1970,16.2738,0,2686,DMA,Upper middle income,Latin America & Caribbean,15.30201,-61.38607,1387,0
Denmark,1970,7692.19,0,21990,DNK,High income,Europe & Central Asia,56.3716,9.1073,345797,0
Dominican Republic,1970,3786.76,0,3234,DOM,Upper middle income,Latin America & Caribbean,19.0691,-70.886,257328,0
Algeria,1970,12857.3,0,7227,DZA,Upper middle income,Middle East & North Africa,28.0236,2.3609,1489812,0
Ecuador,1970,6620.78,0,5723,ECU,Upper middle income,Latin America & Caribbean,-0.20567,-78.50875,481911,0
Egypt,1970,20777.6,0,3055,EGY,Lower middle income,Middle East & North Africa,30.04998,31.24861,1350671,0
Eritrea,1970,1796.57,0,1037,ERI,Low income,Sub-Saharan Africa,15.33637,38.93661,94128,0
Spain,1970,26508.8,0,12233,ESP,High income,Europe & Central Asia,40.42028,-3.70578,1361674,0
Estonia,1970,2208.43,0,9721,EST,High income,Europe & Central Asia,58.7038,25.7374,106626,0
Ethiopia,1970,32686.9,0,778,ETH,Low income,Sub-Saharan Africa,9.01176,38.75919,1827482,0
Finland,1970,9972.17,0,16245,FIN,High income,Europe & Central Asia,63.0041,26.0223,418548,0
Fiji,1970,416.296,0,4384,FJI,Upper middle income,East Asia & Pacific,-17.8464,177.9148,26244,0
France,1970,82882.3,0,18185,FRA,High income,Europe & Central Asia,48.85693,2.3412,3541985,0
Gabon,1970,876.139,0,4656,GAB,Upper middle income,Sub-Saharan Africa,-0.9496,11.2691,140426,0
United Kingdom,1970,120054,0,16933,GBR,High income,Europe & Central Asia,51.50643,-0.12721,4334694,0
Georgia,1970,3492.82,0,5212,GEO,Lower middle income,Europe & Central Asia,41.69792,44.79859,183747,0
Ghana,1970,5230.4,0,2455,GHA,Lower middle income,Sub-Saharan Africa,7.6848,-1.2504,393569,0
Guinea,1970,7147.71,0,966,GIN,Low income,Sub-Saharan Africa,9.51201,-13.70529,498429,0
Gambia,1970,494.789,0,1478,GMB,Low income,Sub-Saharan Africa,13.52,-15.3748,28022,0
Guinea-Bissau,1970,542.102,0,1756,GNB,Low income,Sub-Saharan Africa,11.80284,-14.60059,38862,0
Equatorial Guinea,1970,75.8031,0,1193,GNQ,Upper middle income,Sub-Saharan Africa,1.63472,10.46976,42323,0
Greece,1970,5871.84,0,12366,GRC,High income,Europe & Central Asia,37.97615,23.73642,321286,0
Grenada,1970,25.4355,0,2658,GRD,Upper middle income,Latin America & Caribbean,12.111,-61.6894,1218,0
Greenland,1970,17.8173,0,9961,GRL,High income,Europe & Central Asia,76.9917,-42.3069,788,0
Guatemala,1970,3216.8,0,4606,GTM,Upper middle income,Latin America & Caribbean,14.63173,-90.46745,255750,0
Guyana,1970,2066.49,0,3905,GUY,Upper middle income,Latin America & Caribbean,5.5936,-59.1166,82875,0
Honduras,1970,2551.85,0,2771,HND,Lower middle income,Latin America & Caribbean,14.08191,-87.2054,173026,0
Croatia,1970,2985.57,0,11777,HRV,High income,Europe & Central Asia,45.80722,15.96757,169512,0
Haiti,1970,2955.91,0,1970,HTI,Low income,Latin America & Caribbean,18.54363,-72.33971,160218,0
Hungary,1970,10394.5,0,12917,HUN,High income,Europe & Central Asia,47.50623,19.06483,411305,0
Indonesia,1970,126665,0,2082,IDN,Lower middle income,East Asia & Pacific,-6.17149,106.82753,10519804,0
India,1970,398212,0,1170,IND,Lower middle income,South Asia,18,77.21725,22110672,0
Ireland,1970,10169.6,0,11551,IRL,High income,Europe & Central Asia,53.1437,-7.7786,574419,0
Iran,1970,52012.9,0,10467,IRN,Upper middle income,Middle East & North Africa,35.68878,51.41503,3015914,0
Iraq,1970,19681.9,0,7555,IRQ,Upper middle income,Middle East & North Africa,33.34209,44.39309,888427,0
Iceland,1970,308.49,0,14937,ISL,High income,Europe & Central Asia,64.8226,-18.487,14771,0
Israel,1970,1301.06,0,11062,ISR,High income,Middle East & North Africa,31.70425,35.2063,96404,0
Italy,1970,40488.2,0,16450,ITA,High income,Europe & Central Asia,41.90305,12.49581,1849961,0
Jamaica,1970,821.253,0,7880,JAM,Upper middle income,Latin America & Caribbean,18.1938,-77.4411,49088,0
Jordan,1970,361.816,0,4478,JOR,Upper middle income,Middle East & North Africa,31.95181,35.94042,46314,0
Japan,1970,101804,0,14203,JPN,High income,East Asia & Pacific,36.1419,138.3339,2751790,0
Kazakhstan,1970,68238.3,0,11864,KAZ,Upper middle income,Europe & Central Asia,51.12892,71.41369,2593672,0
Kenya,1970,12008.8,0,1948,KEN,Lower middle income,Sub-Saharan Africa,-1.28352,36.8238,852195,0
Cambodia,1970,20086.5,0,1643,KHM,Lower middle income,East Asia & Pacific,11.55227,104.87691,738203,0
Kiribati,1970,4.66001,0,3136,KIR,Lower middle income,East Asia & Pacific,-0.85424,169.5309,452,0
South Korea,1970,25948.7,0,2142,KOR,High income,East Asia & Pacific,39.01196,125.78686,1309908,0
Kuwait,1970,21910.4,0,54023,KWT,High income,Middle East & North Africa,29.37322,47.97143,471490,0
Lebanon,1970,545.394,0,11978,LBN,Upper middle income,Middle East & North Africa,34.1736,36.0225,33648,0
Liberia,1970,493.168,0,1486,LBR,Low income,Sub-Saharan Africa,6.3521,-9.3257,40604,0
Libya,1970,29695.2,0,67491,LBY,Upper middle income,Middle East & North Africa,27.0041,17.7308,687184,0
Sri Lanka,1970,11338,0,2044,LKA,Lower middle income,South Asia,6.81157,80.6104,471616,0
Lesotho,1970,1129.56,0,742,LSO,Lower middle income,Sub-Saharan Africa,-29.31618,27.49303,49846,0
Lithuania,1970,4583.84,0,13539,LTU,High income,Europe & Central Asia,54.69063,25.26984,239158,0
Luxembourg,1970,714.056,0,29363,LUX,High income,Europe & Central Asia,49.6096,6.12969,42809,0
Latvia,1970,3322.72,0,7706,LVA,High income,Europe & Central Asia,56.94599,24.11487,161763,0
Morocco,1970,8486.35,0,2411,MAR,Lower middle income,Middle East & North Africa,32.5289,-6.0403,396546,0
Moldova,1970,2068.17,0,5212,MDA,Lower middle income,Europe & Central Asia,47.02462,28.83244,134918,0
Madagascar,1970,15194.1,0,2509,MDG,Low income,Sub-Saharan Africa,-18.90428,47.52354,707189,0
Maldives,1970,13.1008,0,1404,MDV,Upper middle income,South Asia,4.17525,73.50928,1219,0
Mexico,1970,60999.1,0,8757,MEX,Upper middle income,Latin America & Caribbean,19.43196,-99.13313,4101730,0
Marshall Islands,1970,2.43945,0,2172,MHL,Upper middle income,East Asia & Pacific,7.0862,171.84685,211,0
Mali,1970,8280.67,0,844,MLI,Low income,Sub-Saharan Africa,12.65032,-8.00004,457743,0
Malta,1970,97.592,0,4631,MLT,High income,Middle East & North Africa,35.89353,14.51179,7623,0
Mongolia,1970,6734.56,0,1695,MNG,Lower middle income,East Asia & Pacific,47.9221,106.91772,324010,0
Mozambique,1970,12793.1,0,703,MOZ,Low income,Sub-Saharan Africa,-25.97446,32.57323,425605,0
Mauritania,1970,3156.65,0,2964,MRT,Lower middle income,Sub-Saharan Africa,18.09194,-15.97248,167771,0
Mauritius,1970,168.887,0,3023,MUS,Upper middle income,Sub-Saharan Africa,-20.16389,57.4985,9466,0
Malawi,1970,3189.38,0,489,MWI,Low income,Sub-Saharan Africa,-13.91437,33.78427,154375,0
Malaysia,1970,14316.7,0,4051,MYS,Upper middle income,East Asia & Pacific,3.14777,101.69403,1055241,0
Namibia,1970,4004.26,0,5981,NAM,Upper middle income,Sub-Saharan Africa,-22.57159,17.09075,164149,0
Niger,1970,5184.91,0,1376,NER,Low income,Sub-Saharan Africa,13.51633,2.11627,224284,0
Nigeria,1970,35196.4,0,3483,NGA,Lower middle income,Sub-Saharan Africa,9.0631,7.46179,2945375,0
Nicaragua,1970,4007,0,6031,NIC,Lower middle income,Latin America & Caribbean,12.11721,-86.24079,210009,0
Netherlands,1970,20203.6,0,19800,NLD,High income,Europe & Central Asia,52.3731,4.89329,1102817,0
Norway,1970,6865.77,0,22186,NOR,High income,Europe & Central Asia,59.9123,10.75,577329,0
Nepal,1970,17364.4,0,1036,NPL,Low income,South Asia,27.69335,85.32233,878500,0
New Zealand,1970,25053.8,0,19200,NZL,High income,East Asia & Pacific,-41.28948,174.77696,1152237,0
Oman,1970,4571.47,0,19472,OMN,High income,Middle East & North Africa,22.0906,57.0988,411797,0
Pakistan,1970,56503,0,1758,PAK,Lower middle income,South Asia,33.70768,73.07048,4247209,0
Panama,1970,2324.03,0,6345,PAN,High income,Latin America & Caribbean,8.4118,-81.1375,123546,0
Peru,1970,13704.3,0,6719,PER,Upper middle income,Latin America & Caribbean,-7.4554,-76.4849,634521,0
Philippines,1970,43210.7,0,3132,PHL,Lower middle income,East Asia & Pacific,17.0167,121.1449,2006627,0
Papua New Guinea,1970,947.533,0,1774,PNG,Lower middle income,East Asia & Pacific,-6.65409,144.3563,112203,0
Poland,1970,97173.7,0,8705,POL,High income,Europe & Central Asia,52.22875,21.00625,4187582,0
Puerto Rico,1970,1277.47,0,15220,PRI,High income,Latin America & Caribbean,18.2682,-66.5557,59045,0
North Korea,1970,15006.5,0,1697,PRK,Low income,East Asia & Pacific,39.9949,126.4826,814278,0
Portugal,1970,6730.67,0,10175,PRT,High income,Europe & Central Asia,40.6867,-7.8904,429349,0
Paraguay,1970,10145,0,3487,PRY,Upper middle income,Latin America & Caribbean,-25.29738,-57.62775,601516,0
Qatar,1970,4775.99,0,158673,QAT,High income,Middle East & North Africa,25.1724,51.1925,480764,0
Romania,1970,32424.7,0,9602,ROU,Upper middle income,Europe & Central Asia,44.4343,26.10296,1412814,0
Russia,1970,338496,0,14915,RUS,Upper middle income,Europe & Central Asia,55.75697,50,21065036,0
Rwanda,1970,1301.73,0,691,RWA,Low income,Sub-Saharan Africa,-1.94509,30.06404,79026,0
Saudi Arabia,1970,31739.8,0,39979,SAU,High income,Middle East & North Africa,24.6473,46.71468,2056345,0
Sudan,1970,31752.1,0,2233,SDN,Lower middle income,Sub-Saharan Africa,15.60867,32.53578,2386128,0
Senegal,1970,4605.16,0,2041,SEN,Low income,Sub-Saharan Africa,15.0421,-15.0882,262359,0
Singapore,1970,658.143,0,10336,SGP,High income,East Asia & Pacific,1.29017,103.852,58858,0
Solomon Islands,1970,1631.18,0,1215,SLB,Lower middle income,East Asia & Pacific,-9.5984,160.14834,71192,0
Sierra Leone,1970,2554.35,0,1650,SLE,Low income,Sub-Saharan Africa,8.46502,-11.88553,122570,0
El Salvador,1970,2238.92,0,4810,SLV,Lower middle income,Latin America & Caribbean,13.69966,-89.20681,115315,0
Somalia,1970,9541.55,0,1083,SOM,Low income,Sub-Saharan Africa,3.3303,44.8747,567641,0
Sao Tome and Principe,1970,17.4334,0,2196,STP,Lower middle income,Sub-Saharan Africa,0.21658,6.59542,1300,0
Suriname,1970,941.366,0,8786,SUR,Upper middle income,Latin America & Caribbean,5.82031,-55.16542,38179,0
Slovenia,1970,2098.6,0,12524,SVN,High income,Europe & Central Asia,46.05061,14.5028,117538,0
Sweden,1970,10081.5,0,22054,SWE,High income,Europe & Central Asia,59.33233,18.06293,470129,0
Eswatini,1970,921.193,0,3971,SWZ,Lower middle income,Sub-Saharan Africa,-26.32604,31.1411,48181,0
Seychelles,1970,8.89781,0,6536,SYC,High income,Sub-Saharan Africa,-4.62311,55.45364,732,0
Syria,1970,2425.01,0,2582,SYR,Low income,Middle East & North Africa,33.4993,36.30132,344200,0
Chad,1970,8043.48,0,1338,TCD,Low income,Sub-Saharan Africa,15.5748,18.7182,457336,0
Togo,1970,2056.17,0,1878,TGO,Low income,Sub-Saharan Africa,8.4736,1.00643,130390,0
Thailand,1970,71443.5,0,2323,THA,Upper middle income,East Asia & Pacific,13.75336,100.50483,3688811,0
Tajikistan,1970,2814.4,0,4703,TJK,Low income,Europe & Central Asia,38.56791,68.77156,159714,0
Turkmenistan,1970,10820.8,0,10045,TKM,Upper middle income,Europe & Central Asia,37.95055,58.38555,924698,0
Timor-Leste,1970,411.555,0,706,TLS,Lower middle income,East Asia & Pacific,-8.89242,125.7582,20213,0
Tonga,1970,32.1751,0,1718,TON,Upper middle income,East Asia & Pacific,-21.13369,-175.20361,2348,0
Trinidad and Tobago,1970,1595.85,0,11495,TTO,High income,Latin America & Caribbean,10.459,-61.2323,230252,0
Tunisia,1970,2530.9,0,2990,TUN,Lower middle income,Middle East & North Africa,36.80002,10.1827,210882,0
Turkey,1970,32789.2,0,6740,TUR,Upper middle income,Europe & Central Asia,39.94292,32.86049,2134964,0
Tanzania,1970,25217.6,0,1391,TZA,Low income,Sub-Saharan Africa,-6.17349,35.74653,1056588,0
Uganda,1970,8564.57,0,1079,UGA,Low income,Sub-Saharan Africa,0.32537,32.58701,556449,0
Ukraine,1970,74351.6,0,7850,UKR,Lower middle income,Europe & Central Asia,50.45058,30.52428,3869662,0
Uruguay,1970,14523.9,0,7934,URY,High income,Latin America & Caribbean,-34.87417,-56.16293,763890,0
United States,1970,594255,0,23908,USA,High income,North America,38.89037,-100,25000568,0
Uzbekistan,1970,16830.8,0,3321,UZB,Lower middle income,Europe & Central Asia,41.32051,69.30666,1389366,0
"Venezuela, RB",1970,35151.4,0,15390,VEN,Upper middle income,Latin America & Caribbean,7.1784,-65.2638,1958077,0
Vietnam,1970,54144.9,0,1053,VNM,Lower middle income,East Asia & Pacific,21.0289,105.85465,3060610,0
Vanuatu,1970,128.364,0,1678,VUT,Lower middle income,East Asia & Pacific,-17.73418,168.32094,9186,0
Samoa,1970,63.1671,0,3748,WSM,Upper middle income,East Asia & Pacific,-13.624,-172.4482,4470,0
Yemen,1970,2204.67,0,1849,YEM,Low income,Middle East & North Africa,15.35318,44.21954,199326,0
South Africa,1970,32269.9,0,10394,ZAF,Upper middle income,Sub-Saharan Africa,-25.74587,28.18763,2208620,0
Zambia,1970,33880.5,0,3888,ZMB,Lower middle income,Sub-Saharan Africa,-15.42555,28.27877,827070,0
Zimbabwe,1970,8496.71,0,2521,ZWE,Low income,Sub-Saharan Africa,-17.82438,31.05,368583,0
Aruba,1971,10.4531,2.01,6904,ABW,High income,Latin America & Caribbean,12.52368,-70.03487,515,0.02
Afghanistan,1971,10201.5,0,1092,AFG,Low income,South Asia,34.53156,69.12535,418090,0
Angola,1971,14500,-37.97,5614,AGO,Lower middle income,Sub-Saharan Africa,-12.3329,16.8309,768497,-0.38
Albania,1971,1717.47,-2.62,3849,ALB,Upper middle income,Europe & Central Asia,41.32233,19.82516,100147,-0.03
United Arab Emirates,1971,15994.8,24.25,41464,ARE,High income,Middle East & North Africa,23.4997,54.1571,824537,0.24
Argentina,1971,84729.1,-0.22,10167,ARG,High income,Latin America & Caribbean,-34.60851,-58.37349,4137984,0
Armenia,1971,1384.62,5.06,3589,ARM,Upper middle income,Europe & Central Asia,40.17334,44.51461,97866,0.05
Antigua and Barbuda,1971,26.4249,8.68,6088,ATG,High income,Latin America & Caribbean,17.0852,-61.8118,1516,0.09
Australia,1971,93855.2,-0.46,20176,AUS,High income,East Asia & Pacific,-35.30655,149.12656,4907976,0
Austria,1971,8936.1,-0.95,18698,AUT,High income,Europe & Central Asia,48.20255,16.3688,399006,-0.01
Azerbaijan,1971,6584.08,2.91,7416,AZE,Upper middle income,Europe & Central Asia,40.4299,47.4369,459643,0.03
Burundi,1971,1458.38,-0.72,827,BDI,Low income,Sub-Saharan Africa,-3.36014,29.36907,79489,-0.01
Belgium,1971,13728.7,-2.79,19548,BEL,High income,Europe & Central Asia,50.84839,4.34969,520579,-0.03
Benin,1971,3378.42,-2.38,1180,BEN,Low income,Sub-Saharan Africa,6.48771,2.61353,193598,-0.02
Burkina Faso,1971,4602.1,-0.25,810,BFA,Low income,Sub-Saharan Africa,11.58778,-2.47413,345405,0
Bangladesh,1971,86454.8,-5.31,1142,BGD,Lower middle income,South Asia,23.71321,90.39957,3878389,-0.05
Bulgaria,1971,10259.6,3.22,8186,BGR,Upper middle income,Europe & Central Asia,42.69717,23.32435,569442,0.03
Bahrain,1971,793.261,0.23,31102,BHR,High income,Middle East & North Africa,26.22954,50.576,83450,0
"Bahamas, The",1971,99.2579,6.02,21018,BHS,High income,Latin America & Caribbean,24.6591,-78.006,6464,0.06
Bosnia and Herzegovina,1971,3202.11,0.9,2732,BIH,Upper middle income,Europe & Central Asia,43.85944,18.43576,139892,0.01
Belarus,1971,12728.7,4.98,5549,BLR,Upper middle income,Europe & Central Asia,53.90255,27.5631,657045,0.05
Belize,1971,108.077,12.01,2570,BLZ,Upper middle income,Latin America & Caribbean,17.25414,-88.77046,6931,0.12
Bolivia,1971,11349.2,-31.25,3727,BOL,Lower middle income,Latin America & Caribbean,-16.4989,-68.13313,906897,-0.31
Brazil,1971,181227,-12.76,6463,BRA,Upper middle income,Latin America & Caribbean,-15.77843,-47.92866,14049996,-0.13
Barbados,1971,99.6235,-0.41,9109,BRB,High income,Latin America & Caribbean,13.11202,-59.61269,4667,0
Brunei,1971,1276.48,-20.95,78230,BRN,High income,East Asia & Pacific,4.8919,114.94044,163011,-0.21
Bhutan,1971,708.691,1.47,1059,BTN,Lower middle income,South Asia,27.4682,89.66189,43578,0.01
Botswana,1971,3235.56,-38.16,1810,BWA,Upper middle income,Sub-Saharan Africa,-24.65527,25.91907,198601,-0.38
Central African Republic,1971,27465.9,-4.93,1285,CAF,Low income,Sub-Saharan Africa,6.61404,20.65731,1720740,-0.05
Canada,1971,68154,1.28,20688,CAN,High income,North America,45.42179,-75.69119,3779435,0.01
Switzerland,1971,4749.41,-2.64,37621,CHE,High income,Europe & Central Asia,46.94843,7.44046,227834,-0.03
Chile,1971,11364.8,4.14,7906,CHL,High income,Latin America & Caribbean,-33.43724,-70.65002,614035,0.04
China,1971,813814,4.19,876,CHN,Upper middle income,East Asia & Pacific,39.90469,116.40708,45917251,0.04
Cameroon,1971,8197.01,-1.08,2190,CMR,Lower middle income,Sub-Saharan Africa,3.86796,11.51695,568560,-0.01
Colombia,1971,36570,-0.95,4484,COL,Upper middle income,Latin America & Caribbean,4.61495,-74.06938,2178243,-0.01
Comoros,1971,142.849,0.56,1453,COM,Low income,Sub-Saharan Africa,-11.69219,43.25921,8571,0.01
Cabo Verde,1971,45.0365,-1.7,856,CPV,Lower middle income,Sub-Saharan Africa,17.0545,-25.17401,3792,-0.02
Costa Rica,1971,2675.06,2.95,5933,CRI,Upper middle income,Latin America & Caribbean,9.92976,-84.08569,134421,0.03
Cuba,1971,12188,-10.38,9471,CUB,Upper middle income,Latin America & Caribbean,22.0677,-79.4995,474018,-0.1
Cyprus,1971,345.815,1.55,9415,CYP,High income,Europe & Central Asia,34.8997,32.9066,19955,0.02
Czech Republic,1971,18130.6,0.93,15487,CZE,High income,Europe & Central Asia,50.07908,14.43323,682287,0.01
Germany,1971,126062,-0.5,21695,DEU,High income,Europe & Central Asia,52.51607,13.37699,4257031,0
Djibouti,1971,155.165,4.39,4510,DJI,Lower middle income,Middle East & North Africa,11.58766,43.1448,17548,0.04
Dominica,1971,17.1469,5.37,2857,DMA,Upper middle income,Latin America & Caribbean,15.30201,-61.38607,1387,0.05
Denmark,1971,7555.14,-1.78,22464,DNK,High income,Europe & Central Asia,56.3716,9.1073,345797,-0.02
Dominican Republic,1971,4018.51,6.12,3484,DOM,Upper middle income,Latin America & Caribbean,19.0691,-70.886,257328,0.06
Algeria,1971,14377.5,11.82,6427,DZA,Upper middle income,Middle East & North Africa,28.0236,2.3609,1489812,0.12
Ecuador,1971,6037.87,-8.8,5866,ECU,Upper middle income,Latin America & Caribbean,-0.20567,-78.50875,481911,-0.09
Egypt,1971,20622.6,-0.75,3090,EGY,Lower middle income,Middle East & North Africa,30.04998,31.24861,1350671,-0.01
Eritrea,1971,1810.77,0.79,1054,ERI,Low income,Sub-Saharan Africa,15.33637,38.93661,94128,0.01
Spain,1971,25897.9,-2.3,12834,ESP,High income,Europe & Central Asia,40.42028,-3.70578,1361674,-0.02
Estonia,1971,2283.82,3.41,9885,EST,High income,Europe & Central Asia,58.7038,25.7374,106626,0.03
Ethiopia,1971,32675.7,-0.03,792,ETH,Low income,Sub-Saharan Africa,9.01176,38.75919,1827482,0
Finland,1971,9883.27,-0.89,16564,FIN,High income,Europe & Central Asia,63.0041,26.0223,418548,-0.01
Fiji,1971,407.265,-2.17,4590,FJI,Upper middle income,East Asia & Pacific,-17.8464,177.9148,26244,-0.02
France,1971,81631,-1.51,18891,FRA,High income,Europe & Central Asia,48.85693,2.3412,3541985,-0.02
Gabon,1971,893.196,1.95,5793,GAB,Upper middle income,Sub-Saharan Africa,-0.9496,11.2691,140426,0.02
United Kingdom,1971,120807,0.63,17207,GBR,High income,Europe & Central Asia,51.50643,-0.12721,4334694,0.01
Georgia,1971,3625.43,3.8,5303,GEO,Lower middle income,Europe & Central Asia,41.69792,44.79859,183747,0.04
Ghana,1971,5187.34,-0.82,2527,GHA,Lower middle income,Sub-Saharan Africa,7.6848,-1.2504,393569,-0.01
Guinea,1971,6991.35,-2.19,977,GIN,Low income,Sub-Saharan Africa,9.51201,-13.70529,498429,-0.02
Gambia,1971,500.536,1.16,1597,GMB,Low income,Sub-Saharan Africa,13.52,-15.3748,28022,0.01
Guinea-Bissau,1971,539.584,-0.46,1676,GNB,Low income,Sub-Saharan Africa,11.80284,-14.60059,38862,0
Equatorial Guinea,1971,76.8138,1.33,1081,GNQ,Upper middle income,Sub-Saharan Africa,1.63472,10.46976,42323,0.01
Greece,1971,5871.67,0,13227,GRC,High income,Europe & Central Asia,37.97615,23.73642,321286,0
Grenada,1971,25.281,-0.61,2852,GRD,Upper middle income,Latin America & Caribbean,12.111,-61.6894,1218,-0.01
Greenland,1971,18.463,3.62,11000,GRL,High income,Europe & Central Asia,76.9917,-42.3069,788,0.04
Guatemala,1971,3466.04,7.75,4766,GTM,Upper middle income,Latin America & Caribbean,14.63173,-90.46745,255750,0.08
Guyana,1971,1709.41,-17.28,3996,GUY,Upper middle income,Latin America & Caribbean,5.5936,-59.1166,82875,-0.17
Honduras,1971,2655.29,4.05,2778,HND,Lower middle income,Latin America & Caribbean,14.08191,-87.2054,173026,0.04
Croatia,1971,3015.48,1,13019,HRV,High income,Europe & Central Asia,45.80722,15.96757,169512,0.01
Haiti,1971,3029.29,2.48,2076,HTI,Low income,Latin America & Caribbean,18.54363,-72.33971,160218,0.02
Hungary,1971,10612.2,2.09,13471,HUN,High income,Europe & Central Asia,47.50623,19.06483,411305,0.02
Indonesia,1971,119293,-5.82,2162,IDN,Lower middle income,East Asia & Pacific,-6.17149,106.82753,10519804,-0.06
India,1971,401434,0.81,1154,IND,Lower middle income,South Asia,18,77.21725,22110672,0.01
Ireland,1971,10380.1,2.07,11850,IRL,High income,Europe & Central Asia,53.1437,-7.7786,574419,0.02
Iran,1971,55205.6,6.14,11475,IRN,Upper middle income,Middle East & North Africa,35.68878,51.41503,3015914,0.06
Iraq,1971,21872.3,11.13,7785,IRQ,Upper middle income,Middle East & North Africa,33.34209,44.39309,888427,0.11
